,region,iso3,country,year,month,unrest_index
449,Western Africa,SEN,Senegal,2001,4,250
450,Western Africa,SLE,Sierra Leone,2001,4,1200
451,Eastern Africa,BDI,Burundi,2001,5,7600
452,Eastern Africa,DJI,Djibouti,2001,5,0
453,Eastern Africa,ERI,Eritrea,2001,5,25
454,Eastern Africa,ETH,Ethiopia,2001,5,325
455,Eastern Africa,KEN,Kenya,2001,5,790
456,Eastern Africa,MWI,Malawi,2001,5,65
457,Eastern Africa,RWA,Rwanda,2001,5,900
458,Eastern Africa,SOM,Somalia,2001,5,1025
459,Eastern Africa,TZA,Tanzania,2001,5,50
460,Eastern Africa,UGA,Uganda,2001,5,1625
461,Middle Africa,AGO,Angola,2001,5,4065
462,Middle Africa,CAF,Central African Republic,2001,5,475
463,Middle Africa,CMR,Cameroon,2001,5,25
464,Middle Africa,COD,Democratic Republic of Congo,2001,5,3450
465,Middle Africa,COG,Republic of Congo,2001,5,300
466,Middle Africa,TCD,Chad,2001,5,25
467,Northern Africa,DZA,Algeria,2001,5,1450
468,Northern Africa,EGY,Egypt,2001,5,45
469,Northern Africa,SDN,Sudan,2001,5,3740
470,Southern Africa,NAM,Namibia,2001,5,75
471,Southern Africa,ZAF,South Africa,2001,5,310
472,Southern Africa,ZMB,Zambia,2001,5,75
473,Southern Africa,ZWE,Zimbabwe,2001,5,525
474,Western Africa,CIV,Ivory Coast,2001,5,450
475,Western Africa,GHA,Ghana,2001,5,75
476,Western Africa,GIN,Guinea,2001,5,25
477,Western Africa,GMB,Gambia,2001,5,20
478,Western Africa,LBR,Liberia,2001,5,2210
479,Western Africa,NGA,Nigeria,2001,5,875
480,Western Africa,SEN,Senegal,2001,5,450
481,Western Africa,SLE,Sierra Leone,2001,5,325
482,Eastern Africa,BDI,Burundi,2001,6,3475
483,Eastern Africa,ERI,Eritrea,2001,6,300
484,Eastern Africa,ETH,Ethiopia,2001,6,375
485,Eastern Africa,KEN,Kenya,2001,6,775
486,Eastern Africa,MWI,Malawi,2001,6,125
487,Eastern Africa,RWA,Rwanda,2001,6,2100
488,Eastern Africa,SOM,Somalia,2001,6,150
489,Eastern Africa,TZA,Tanzania,2001,6,300
490,Eastern Africa,UGA,Uganda,2001,6,1020
491,Middle Africa,AGO,Angola,2001,6,7075
492,Middle Africa,CAF,Central African Republic,2001,6,1150
493,Middle Africa,COD,Democratic Republic of Congo,2001,6,4200
494,Middle Africa,GAB,Gabon,2001,6,50
495,Middle Africa,GNQ,Equatorial Guinea,2001,6,25
496,Middle Africa,TCD,Chad,2001,6,170
497,Northern Africa,DZA,Algeria,2001,6,2190
498,Northern Africa,EGY,Egypt,2001,6,210
499,Northern Africa,MAR,Morocco,2001,6,25
500,Northern Africa,SDN,Sudan,2001,6,3075
501,Southern Africa,ZAF,South Africa,2001,6,340
502,Southern Africa,ZWE,Zimbabwe,2001,6,370
503,Western Africa,BFA,Burkina Faso,2001,6,50
504,Western Africa,LBR,Liberia,2001,6,975
505,Western Africa,MLI,Mali,2001,6,175
506,Western Africa,NER,Niger,2001,6,25
507,Western Africa,NGA,Nigeria,2001,6,500
508,Western Africa,SEN,Senegal,2001,6,3025
509,Western Africa,SLE,Sierra Leone,2001,6,475
510,Western Africa,TGO,Togo,2001,6,20
511,Eastern Africa,BDI,Burundi,2001,7,5650
512,Eastern Africa,ETH,Ethiopia,2001,7,325
513,Eastern Africa,KEN,Kenya,2001,7,2995
514,Eastern Africa,RWA,Rwanda,2001,7,475
515,Eastern Africa,SOM,Somalia,2001,7,625
516,Eastern Africa,TZA,Tanzania,2001,7,20
517,Eastern Africa,UGA,Uganda,2001,7,1000
518,Middle Africa,AGO,Angola,2001,7,3420
519,Middle Africa,CAF,Central African Republic,2001,7,25
520,Middle Africa,COD,Democratic Republic of Congo,2001,7,1810
521,Middle Africa,COG,Republic of Congo,2001,7,175
522,Middle Africa,TCD,Chad,2001,7,150
523,Northern Africa,DZA,Algeria,2001,7,245
524,Northern Africa,EGY,Egypt,2001,7,150
525,Northern Africa,SDN,Sudan,2001,7,1625
526,Southern Africa,ZAF,South Africa,2001,7,290
527,Southern Africa,ZMB,Zambia,2001,7,100
528,Southern Africa,ZWE,Zimbabwe,2001,7,1400
